id, x, y
-1, 0, 0
-2, 1313, 1763
1, 88, 286
2, 92, 330
3, 130, 342
4, 230, 367
5, 276, 376
6, 324, 409
7, 364, 321
8, 338, 239
9, 323, 217
10, 258, 432
11, 222, 438
12, 249, 469
14, 185, 545
15, 84, 363
16, 274, 545
17, 102, 540
18, 282, 589
19, 76, 599
20, 299, 618
22, 615, 270
23, 543, 250
24, 517, 308
25, 578, 342
26, 564, 365
27, 505, 331
28, 490, 439
29, 476, 390
30, 480, 487
31, 378, 533
32, 389, 440
33, 386, 594
34, 410, 357
35, 543, 405
36, 209, 682
37, 192, 666
40, 91, 654
45, 209, 725
46, 212, 762
47, 182, 771
49, 296, 749
50, 386, 739
51, 179, 834
52, 222, 837
53, 361, 1059
54, 402, 1031
55, 434, 1006
56, 488, 998
57, 526, 998
60, 482, 923
61, 527, 967
62, 552, 977
64, 610, 715
65, 595, 701
66, 529, 711
67, 583, 657
68, 568, 601
69, 560, 577
70, 517, 579
71, 417, 597
72, 424, 640
73, 450, 641
74, 462, 641
75, 481, 643
76, 482, 663
77, 659, 594
78, 677, 467
81, 642, 654
82, 752, 723
83, 688, 532
84, 700, 482
85, 759, 480
86, 759, 528
87, 733, 592
88, 683, 592
89, 522, 620
90, 84, 355
91, 185, 474
92, 386, 507
93, 292, 717
94, 488, 1036
95, 837, 407
96, 834, 440
97, 836, 475
98, 832, 523
99, 836, 589
100, 661, 633
101, 737, 678
102, 654, 720
103, 575, 778
104, 601, 802
105, 519, 870
107, 768, 741
108, 823, 795
109, 730, 967
110, 685, 1032
111, 605, 1009
112, 605, 1057
113, 399, 809
114, 344, 830
115, 422, 881
116, 383, 967
117, 349, 907
118, 331, 1082
119, 395, 1006
120, 344, 1033
121, 244, 1061
122, 139, 1060
123, 50, 1060
124, 46, 1143
125, 204, 1140
126, 307, 1185
127, 43, 1377
128, 45, 1577
129, 255, 1223
130, 348, 1206
131, 253, 1361
132, 252, 1509
133, 345, 1488
134, 341, 1521
135, 425, 1555
136, 589, 1469
137, 635, 1438
138, 626, 1383
139, 665, 1444
140, 731, 1415
141, 820, 1370
142, 883, 1343
143, 882, 1316
144, 48, 927
145, 54, 683
146, 323, 198
147, 61, 197
148, 212, 201
149, 212, 55
150, 385, 201
151, 378, 57
152, 497, 189
153, 498, 55
154, 701, 446
155, 716, 59
156, 1030, 1271
157, 1123, 1115
158, 1206, 921
159, 1018, 820
160, 921, 726
161, 938, 609
162, 1250, 786
163, 1272, 674
164, 1128, 563
165, 984, 503
166, 970, 390
167, 970, 66
168, 266, 916
169, 701, 863
